,train,val,test
0,18B0006623B,17B0034449,16B0026795
1,16B0026794,17B0018428,16B0022608
2,18B0005478A,18B0003896D,18B0002933I
3,17B0017454,17B0027608,17B0031879
4,18B0005773,17B0031103,16B0028168
5,17B0035225,16B0028814,18B0006177A
6,17B0031890,18B0003894J,17B0029534
7,17B0023909,18B0005478G,18B0006623A
8,18B0003808K,17B0031108,17B0017717
9,16B0024174,18B0005478C,18B0001966H
10,17B0016583,17B0032153,18B0005478I
11,17B0016566,16B0006694,18B0003901F
12,16B0022612,18B0006623J,18B000646G
13,18B0005478D,18B0003032A,17B0034247
14,17B0031893,17B0017511,18B0005478B
15,17B0017506,18B0001510G,17B0031079
16,17B0016589,16B0024175,16B0023614
17,18B0006622E,16B0028161,18B0002930B
18,18B0003894H,18B0002933H,18B0006623D
19,18B0006174B,16B0003394,18B0006179I
20,18B0005478J,17B0024162,18B001071J
21,18B0004358D,17B0035220,17B0031877
22,18B0004349A,18B0005478E,18B0001510J
23,16B0008067,17B00208861,16B0006695
24,17B0022792,18B0006623F,18B0006621D
25,17B00208864,16B0022615,16B0028148
26,18B0005478F,18B0005718B,17B0015685
27,16B0027039,18B0005230E,18B0001159D
28,18B0005477G,17B0031932,16B0006669
29,16B0024173,16B0028138,18B0005478H
30,17B0016579,16B0022781,16B0023613
31,18B0006173F,,
32,16B0022613,,
33,16B0028815,,
34,18B0001071H,,
35,18B0001506G,,
36,18B0005125B,,
37,18B0006623G,,
38,17B0011996,,
39,18B0006170D,,
40,16B0028813,,
41,16B0003388,,
42,17B0031904,,
43,17B0034674,,
44,17B0027646,,
45,16B0022610,,
46,18B0002932D,,
47,16B0001851,,
48,16B0008045,,
49,16B0024181,,
50,16B0026792,,
51,17B0031911,,
52,17B0031124,,
53,18B0004346A,,
54,17B0031053,,
55,16B0022786,,
56,17B0034184,,
57,18B0006623H,,
58,17B0015554,,
59,17B0023980,,
60,18B0005126C,,
61,17B0021010,,
62,16B0028822,,
63,16B0028914,,
64,16B0024177,,
65,17B0028627,,
66,16B0027038,,
67,18B0002452G,,
68,18B0005124A,,
69,16B0027040,,
70,17B0034179,,
71,18B0004349G,,
72,16B0026796,,
73,18B0001971B,,
74,18B0002975B,,
75,18B000646H,,
76,16B0028817,,
77,16B0022616,,
78,18B0006169B,,
79,18B0006623C,,
80,17B0023487,,
81,17B0034675,,
82,17B00116581,,
83,16B0028816,,
84,18B0006623I,,
85,17B0015777,,
86,17B0029587,,
87,17B0024636,,
88,17B0031109,,
89,17B0031061,,
90,16B0006668,,
91,17B0019359,,
92,17B0015969,,
