,train,val,test
0,TCGA-E7-A677,TCGA-UY-A8OC,TCGA-FD-A3SN
1,TCGA-XF-AAN2,TCGA-E7-A5KF,TCGA-C4-A0EZ
2,TCGA-ZF-AA51,TCGA-K4-A5RI,TCGA-XF-A8HD
3,TCGA-DK-A1AB,TCGA-GV-A3QK,TCGA-E7-A3X6
4,TCGA-PQ-A6FN,TCGA-BT-A20P,TCGA-FD-A5BR
5,TCGA-E7-A7XN,TCGA-FD-A3SP,TCGA-XF-AAMJ
6,TCGA-GV-A3QH,TCGA-XF-A9SK,TCGA-XF-A9SZ
7,TCGA-UY-A78M,TCGA-XF-A9SJ,TCGA-CF-A9FL
8,TCGA-FD-A3SJ,TCGA-E7-A519,TCGA-2F-A9KP
9,TCGA-CF-A8HY,TCGA-UY-A9PD,TCGA-FD-A5BU
10,TCGA-GC-A3I6,TCGA-G2-A2ES,TCGA-ZF-A9RD
11,TCGA-E7-A5KE,TCGA-FD-A3SS,TCGA-FD-A5BY
12,TCGA-FD-A3SQ,TCGA-ZF-AA4U,TCGA-ZF-AA4X
13,TCGA-ZF-A9RF,TCGA-CF-A8HX,TCGA-E7-A97Q
14,TCGA-GU-A762,TCGA-BT-A2LB,TCGA-K4-A3WU
15,TCGA-G2-A3IB,TCGA-BL-A3JM,TCGA-K4-A4AC
16,TCGA-FD-A5BS,TCGA-BL-A13I,TCGA-YF-AA3M
17,TCGA-DK-A1AC,TCGA-ZF-AA58,TCGA-DK-A6AW
18,TCGA-ZF-AA4T,TCGA-FJ-A3Z7,TCGA-FD-A43P
19,TCGA-GU-A767,TCGA-XF-A9SX,TCGA-CF-A5UA
20,TCGA-FT-A61P,TCGA-FD-A6TI,TCGA-4Z-AA7R
21,TCGA-DK-A6B1,TCGA-E7-A85H,TCGA-FD-A5C1
22,TCGA-LT-A5Z6,TCGA-GC-A6I3,TCGA-GC-A6I1
23,TCGA-ZF-A9R1,TCGA-FD-A3N5,TCGA-ZF-AA5H
24,TCGA-BT-A2LA,TCGA-K4-A6FZ,TCGA-ZF-A9RL
25,TCGA-BT-A3PJ,TCGA-XF-A9ST,TCGA-YC-A9TC
26,TCGA-UY-A9PB,TCGA-FD-A6TE,TCGA-FD-A5BT
27,TCGA-G2-AA3D,TCGA-FD-A6TA,TCGA-CU-A72E
28,TCGA-2F-A9KQ,TCGA-G2-A3VY,TCGA-E7-A4XJ
29,TCGA-4Z-AA7M,TCGA-BL-A0C8,TCGA-YF-AA3L
30,TCGA-FD-A62S,TCGA-E7-A7PW,TCGA-SY-A9G5
31,TCGA-CU-A3KJ,TCGA-4Z-AA7N,TCGA-ZF-A9R3
32,TCGA-XF-A9SW,TCGA-FD-A3NA,TCGA-XF-AAN5
33,TCGA-BT-A20N,TCGA-CF-A47S,TCGA-XF-A9T0
34,TCGA-XF-AAMW,TCGA-E5-A2PC,TCGA-FD-A43U
35,TCGA-CF-A27C,TCGA-4Z-AA82,TCGA-K4-A3WV
